Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Product_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Revenue,Payment_Method,Order_Status,Year,Month,Month_Name,Quarter,Day_Name,Age_Group
ORD004418,30-03-2026,CUST00586,Isha Nair,Female,58,Kozhikode,Kerala,P026,Dumbbells,Sports,1,2514.09,0,2514.09,Credit Card,Delivered,2026,3,March,1,Monday,56+
ORD001993,03-02-2026,CUST00183,Priya Singh,Male,25,Kozhikode,Kerala,P030,Desk Organizer,Books & Stationery,1,905.41,0,905.41,Debit Card,Delivered,2026,2,February,1,Tuesday,18-25
ORD000617,10-06-2026,CUST01015,Ananya Rao,Male,33,Jaipur,Rajasthan,P006,Keyboard,Electronics,3,1738.34,0.1,4693.52,Cash on Delivery,Delivered,2026,6,June,2,Wednesday,26-35
ORD004265,05-03-2026,CUST00822,Anjali Patel,Female,30,Jodhpur,Rajasthan,P025,Cricket Bat,Sports,2,2761.31,0.2,4418.1,Cash on Delivery,Cancelled,2026,3,March,1,Thursday,26-35
ORD004008,05-05-2026,CUST00975,Pooja Reddy,Female,61,Madurai,Tamil Nadu,P020,Perfume,Beauty,1,2366.93,0.15,2011.89,Cash on Delivery,Delivered,2026,5,May,2,Tuesday,56+
ORD000889,05-02-2026,CUST00725,Aarav Kumar,Male,53,Jaipur,Rajasthan,P021,Skin Care Kit,Beauty,1,1695.34,0,1695.34,Net Banking,Delivered,2026,2,February,1,Thursday,46-55
ORD005192,16-05-2026,CUST00314,Sanjay Gupta,Female,47,Howrah,West Bengal,P023,Protein Powder,Sports,1,3238.7,0,3238.7,Debit Card,Delivered,2026,5,May,2,Saturday,46-55
ORD005292,28-03-2026,CUST00038,Neha Kumar,Female,30,Kochi,Kerala,P022,Hair Dryer,Beauty,1,2556.53,0.05,2428.7,Credit Card,Delivered,2026,3,March,1,Saturday,26-35
ORD000228,05-05-2026,CUST01627,Kiran Nair,Male,27,Coimbatore,Tamil Nadu,P007,Running Shoes,Fashion,1,3286.35,0,3286.35,Net Banking,Delivered,2026,5,May,2,Tuesday,26-35
ORD009923,17-02-2026,CUST00523,Meera Singh,Female,28,Mangaluru,Karnataka,P019,Face Wash,Beauty,1,468.07,0.1,421.26,Net Banking,Delivered,2026,2,February,1,Tuesday,26-35
